from,to,delta_i,delta_tau,Ijk,Il,Iu
1,2,1.090077,0.5334846,14.29482,14.29482,90.0
1,3,3.603968,0.6378667,63.35574,63.35574,90.0
2,4,1.269549,0.4204387,57.37206,57.37206,90.0
5,6,0.7561533,0.3650681,35.69117,35.69117,90.0
5,7,16.42722,0.6695787,57.77785,57.77785,90.0
5,8,2.236286,0.4915443,35.30481,35.30481,90.0
8,9,1.082912,0.4343213,42.30514,42.30514,90.0
6,8,2.266418,0.4836767,40.34352,40.34352,90.0
6,9,2.433427,0.5339446,45.74535,45.74535,90.0
10,11,3.511522,0.6090629,40.24595,40.24595,90.0
10,12,0.0,0.5510176,99.03472,99.03472,99.03472
7,13,8.108741,0.6375865,36.80791,36.80791,90.0
7,14,5.8648,0.571799,59.93149,59.93149,90.0
4,15,2.000796,0.4958104,77.5218,77.5218,90.0
4,16,2.792964,0.5411825,73.93905,73.93905,90.0
11,17,0.7573418,0.4390268,62.60185,62.60185,90.0
11,18,1.172575,0.4672604,57.48475,57.48475,90.0
9,19,0.5665452,0.4095651,60.79114,60.79114,90.0
9,17,0.7007062,0.4001856,56.15057,56.15057,90.0
17,18,1.267171,0.4966158,50.54134,50.54134,90.0
15,20,0.8871648,0.4515046,59.80286,59.80286,90.0
3,20,4.063286,0.521737,86.43184,86.43184,90.0
15,21,0.9440705,0.4779035,49.23215,49.23215,90.0
13,22,2.073504,0.4972606,60.23264,60.23264,90.0
13,23,2.031784,0.4577563,51.57393,51.57393,90.0
19,24,0.84835,0.4789262,40.80089,40.80089,90.0
19,25,0.4693721,0.3672589,48.95085,48.95085,90.0
18,26,0.6391079,0.3668662,72.68088,72.68088,90.0
3,27,0.0,0.5122537,94.55046,94.55046,94.55046
16,28,0.9774789,0.4444518,72.7944,72.7944,90.0
16,29,1.843093,0.5736076,61.76397,61.76397,90.0
22,24,0.4666542,0.3953575,34.7429,34.7429,90.0
24,30,0.3727283,0.3822642,36.20227,36.20227,90.0
25,31,0.2007207,0.2695457,46.78318,46.78318,90.0
25,32,2.14034,0.5431424,52.66059,52.66059,90.0
25,33,2.467443,0.4790866,50.36064,50.36064,90.0
26,34,0.4562698,0.4172556,37.63256,37.63256,90.0
26,32,0.6861802,0.3959188,65.88039,65.88039,90.0
22,35,1.469454,0.4234367,74.51117,74.51117,90.0
30,31,0.6517774,0.4028718,50.32158,50.32158,90.0
31,36,1.164462,0.4788368,32.82654,32.82654,90.0
23,37,4.241441,0.5348193,52.17169,52.17169,90.0
23,38,1.645452,0.4606056,50.25623,50.25623,90.0
21,39,0.4442863,0.4757519,11.98561,11.98561,90.0
21,40,2.850207,0.6161222,64.07486,64.07486,90.0
12,29,0.0,0.3884144,93.68189,93.68189,93.68189
12,41,1.178629,0.4550153,70.92664,70.92664,90.0
30,35,1.395562,0.4374029,59.72243,59.72243,90.0
32,34,0.5050941,0.3967866,60.08346,60.08346,90.0
34,41,1.278656,0.4589339,58.85479,58.85479,90.0
32,42,0.4416192,0.3516296,65.15721,65.15721,90.0
37,43,5.733796,0.5681142,59.31046,59.31046,90.0
37,44,1.530974,0.4474375,52.03184,52.03184,90.0
35,45,0.4996603,0.3861475,35.14058,35.14058,90.0
35,36,1.955976,0.4753193,69.37207,69.37207,90.0
35,46,0.9617978,0.4572055,39.71559,39.71559,90.0
28,47,0.4396604,0.4093736,60.31214,60.31214,90.0
28,48,0.9436321,0.4626915,68.85374,68.85374,90.0
14,43,4.394614,0.555953,66.792,66.792,90.0
14,49,2.339784,0.4922492,46.06868,46.06868,90.0
29,50,0.3304077,0.3820849,39.17543,39.17543,90.0
41,51,1.0179,0.5248696,28.01401,28.01401,90.0
27,52,3.591896,0.5740627,75.67803,75.67803,90.0
27,40,6.293304,0.6314354,75.67013,75.67013,90.0
43,53,0.9238138,0.4860326,15.96578,15.96578,90.0
38,45,1.427569,0.5289745,33.12636,33.12636,90.0
45,54,1.172933,0.5159729,35.61587,35.61587,90.0
42,55,0.0,0.4461073,90.6872,90.6872,90.6872
42,56,1.484046,0.4629709,73.72475,73.72475,90.0
39,47,2.066055,0.4175925,87.08654,87.08654,90.0
39,57,2.570459,0.5723223,57.97558,57.97558,90.0
38,44,0.2850307,0.3373328,24.40609,24.40609,90.0
55,58,0.6072528,0.3423766,72.23515,72.23515,90.0
33,55,1.461007,0.4163849,50.11829,50.11829,90.0
33,59,2.284389,0.4938149,60.33625,60.33625,90.0
33,36,0.7267464,0.3599403,37.14664,37.14664,90.0
36,60,0.3915305,0.3150588,61.63014,61.63014,90.0
47,48,1.413861,0.4688827,83.14392,83.14392,90.0
44,61,2.372345,0.5652415,39.86961,39.86961,90.0
48,50,0.2503258,0.3244138,63.70474,63.70474,90.0
50,51,0.0,0.5533983,98.24877,98.24877,98.24877
46,60,0.4442386,0.3074704,59.8227,59.8227,90.0
46,54,2.313598,0.5326647,71.99786,71.99786,90.0
60,62,3.514809,0.589583,66.04207,66.04207,90.0
56,58,1.40631,0.4656806,72.66883,72.66883,90.0
58,59,1.2994,0.4871864,52.14079,52.14079,90.0
63,64,0.8164226,0.4350879,42.89601,42.89601,90.0
56,65,1.932192,0.5406838,53.03222,53.03222,90.0
56,66,2.511922,0.4927963,78.55562,78.55562,90.0
49,67,1.751101,0.3425543,79.16134,79.16134,90.0
49,68,9.579833,0.6252835,52.65711,52.65711,90.0
53,67,3.780671,0.5340081,67.18942,67.18942,90.0
51,66,1.271518,0.4996148,54.34711,54.34711,90.0
52,64,1.792332,0.5163775,58.60477,58.60477,90.0
64,69,0.9796017,0.491006,62.35876,62.35876,90.0
54,70,0.3767785,0.3199086,70.30819,70.30819,90.0
67,71,5.688916,0.5631571,67.83961,67.83961,90.0
59,65,0.5961834,0.3477883,70.81133,70.81133,90.0
61,70,3.22784,0.562479,81.58065,81.58065,90.0
62,70,2.240246,0.5883435,37.53415,37.53415,90.0
52,72,0.4286384,0.3595169,56.84294,56.84294,90.0
52,69,1.026632,0.4368659,72.42712,72.42712,90.0
72,73,0.9667157,0.4857172,62.15333,62.15333,90.0
72,74,3.898449,0.6146139,69.88699,69.88699,90.0
53,61,2.574829,0.608846,20.16666,20.16666,90.0
61,75,1.063029,0.4422463,53.05722,53.05722,90.0
69,73,0.9770811,0.407775,75.34035,75.34035,90.0
66,76,6.121505,0.6717143,71.39056,71.39056,90.0
40,74,2.508074,0.5119414,75.53468,75.53468,90.0
57,77,4.770056,0.6461401,67.14343,67.14343,90.0
57,78,4.58191,0.6628893,65.63219,65.63219,90.0
73,79,29.07365,0.5421405,89.26798,89.26798,90.0
75,80,1.843004,0.5334003,38.23544,38.23544,90.0
68,81,2.928327,0.4943717,63.57343,63.57343,90.0
71,82,1.128499,0.3973152,41.93468,41.93468,90.0
71,83,2.581488,0.5235652,34.88766,34.88766,90.0
74,84,0.7862406,0.418857,67.07835,67.07835,90.0
82,86,2.745061,0.5007241,41.76881,41.76881,90.0
82,87,2.871584,0.5137059,38.42841,38.42841,90.0
