node,lon,lat,population,productivity,product,name
1,8.781525,-0.719322,185.4909,5.018616,3,port-gentil - GAB
2,9.45433,0.392626,1114.618,3.877609,5,libreville - GAB
3,10.6900301,-1.61629,0.001,0.001,1,
4,9.8881998,0.40386,0.001,0.001,1,
5,9.4839201,4.6536598,274.2512,3.507168,6,kumba - CMR
6,9.7191801,4.7216001,146.2022,4.75871,4,loum - CMR
7,9.7883997,7.85706,0.001,0.001,1,
8,9.704361,4.048275,4139.038,3.982459,7,douala - CMR
9,10.10923,3.81478,84.274,14.84845,2,edea - CMR
10,9.765828,1.863912,375.0699,5.546669,8,bata - GNQ
11,9.907671,2.937265,139.7269,23.19729,9,kribi - CMR
12,11.0017595,1.6778599,10.29107,6.937802,1,mengomeyen - GNQ
13,10.417639,5.477679,1418.332,3.189104,10,bafoussam - CMR
14,11.3106298,8.9040794,0.001,0.001,1,
15,10.4113894,-0.24969,0.001,0.001,1,
16,10.795319,1.016035,0.001,0.001,1,Medounou - GAB
17,10.1261997,3.4361398,0.001,0.001,1,
18,10.5479898,2.8142998,0.001,0.001,1,
19,10.5248098,3.85636,0.001,0.001,1,
20,10.240261,-0.699501,51.5485,2.88368,2,lambarene - GAB
21,10.9577293,-0.07846,0.001,0.001,1,
22,10.8377495,4.7785001,48.96796,2.101161,1,makenene - CMR
23,10.90411,5.8210897,180.7151,2.768028,4,foumban - CMR
24,10.8100796,4.4519897,0.001,0.001,1,
25,10.8252296,3.87113,26.57978,5.278414,1,eseka - CMR
26,10.8318396,2.80825,0.001,0.001,1,
27,11.358396,-2.40053,10.26945,5.383258,1,ndende - GAB
28,11.2579899,0.98871,0.001,0.001,1,
29,11.3172693,1.6293399,0.001,0.001,1,
30,11.0112896,4.2733197,26.18536,7.686879,1,monatele - CMR
31,10.8997297,3.9534199,0.001,0.001,1,
32,11.1500101,2.9010398,71.1203,3.009066,2,ebolowa i - CMR
33,11.516925,3.866788,5473.117,3.024897,11,yaounde - CMR
34,11.0307493,2.5671699,0.001,0.001,1,
35,11.233892,4.750141,107.0181,5.136574,4,bafia - CMR
36,11.5215797,4.1286998,0.001,0.001,1,
37,11.2000599,6.5863299,0.001,0.001,1,
38,11.4886093,6.0801997,21.09238,4.442516,1,bankim - CMR
39,11.4499493,0.35482,0.001,0.001,1,
40,12.708589,-0.817882,15.92555,1.885737,1,lastoursville - GAB
41,11.3366795,2.1724999,80.16985,2.739478,2,bitam - GAB
42,11.3987398,2.9416099,0.001,0.001,1,
43,11.37848,7.80269,0.001,0.001,1,
44,11.5749798,6.2867699,19.45967,2.944628,1,mayo-darle - CMR
45,11.3942499,5.033,0.001,0.001,1,
46,11.6239901,4.45331,38.49692,11.84638,1,ntui - CMR
47,11.5485697,0.78783,11.63731,7.479143,1,mitzic - GAB
48,11.6136293,1.40861,0.001,0.001,1,
49,12.0360594,9.4568796,0.001,0.001,1,
50,11.580106,1.599523,117.3556,2.97651,4,oyem - GAB
51,12.0939293,2.362,0.001,0.001,1,
52,12.4489298,-3.7208798,0.001,0.001,1,
53,12.0422497,8.1119099,0.001,0.001,1,
54,12.2272902,5.3556399,0.001,0.001,1,
55,11.5141802,3.4663,129.2369,2.922331,4,mbalmayo - CMR
56,11.984259,2.933186,123.5841,2.786068,4,sangmelima - CMR
57,12.8800592,0.57262,27.45892,1.633765,1,makokou - GAB
58,11.7421799,3.4712598,0.001,0.001,1,
59,12.3173695,3.86707,24.558,4.576763,1,akonolinga - CMR
60,11.6356602,4.2817297,0.001,0.001,1,
61,12.62843,6.465065,55.73492,2.364925,2,tibati - CMR
62,13.4344997,4.5693398,0.001,0.001,1,
63,11.893892,-4.818817,1210.568,9.147938,12,pointe noire - COG
64,12.1422396,-4.4204998,0.001,0.001,1,
65,12.5527201,3.8897099,12.28994,6.639101,1,ayos - CMR
66,12.6691294,2.67044,0.001,0.001,1,
67,12.2308893,9.30441,0.001,0.001,1,
68,13.1129599,11.8344793,0.001,0.001,1,
69,12.666658,-4.1983,142.5763,2.814489,4,dolisie - COG
70,12.3433399,5.4879899,0.001,0.001,1,
71,13.1615601,10.3116198,0.001,0.001,1,
72,12.6040697,-3.47978,15.81185,5.400801,1,makabana - COG
73,13.0467901,-4.1487999,145.8993,3.840906,4,nkayi - COG
74,13.2161398,-1.5501,78.60933,3.398135,2,moanda - GAB
75,13.0723896,6.5987396,34.77108,1.772674,1,ngaoundal - CMR
76,15.8996,1.4879199,0.001,0.001,1,
77,13.7685299,-1.60314,0.001,0.001,1,
78,15.6253796,-0.00424,24.39076,1.459352,1,makoua - COG
79,14.3372498,-4.2444501,24.73811,1.621563,1,mindouli - COG
80,13.584335,7.328085,398.1865,3.407759,13,ngaoundere - CMR
81,13.9104395,12.0382099,0.001,0.001,1,
82,13.3954792,10.6302195,10.383,7.719589,1,mogode - CMR
83,13.397603,9.301353,622.515,3.319993,14,garoua - CMR
84,13.583221,-1.63274,151.0346,3.100827,4,franceville - GAB
85,13.5015793,4.26088,0.001,0.001,1,
86,13.7554197,11.4666996,0.001,0.001,1,
87,14.315781,10.591182,413.8009,3.356816,15,maroua - CMR
88,13.7330093,8.4772596,0.001,0.001,1,
89,13.964553,9.756758,141.3923,4.372909,4,figuil centre - CMR
90,13.684509,4.577279,345.3658,3.728574,16,bertoua - CMR
91,14.2049799,4.4045601,0.001,0.001,1,
92,14.300062,6.517352,69.4527,2.713564,2,meiganga - CMR
93,15.3446693,7.7679696,31.16029,14.40984,1,touboro - CMR
94,13.6138992,12.6806498,0.001,0.001,1,
